"name","sex","year_of_birth","nationality","military_civilian","total_number_of_missions","total_hrs_sum","sex_color"
"Acaba, Joseph M.","male",1967,"U.S.","civilian",3,7272.23,"blue"
"Adamson, James C.","male",1946,"U.S.","military",2,334,"blue"
"Afanasyev, Viktor Mikhaylovich","male",1948,"U.S.S.R/Russia","military",4,13338.55,"blue"
"Aidyn (Aydyn) Akanovich Aimbetov","male",1972,"Kazakhstan","military",1,236.23,"blue"
"Akers, Thomas D.","male",1951,"U.S.","military",4,814,"blue"
"Aksyonov, Vladimir","male",1935,"U.S.S.R/Russia","military",2,284.18,"blue"
"Al-saud, Sultan bin Salman","male",1956,"Saudi Arabia","civilian",1,170,"blue"
"Aldrin, Edwin Eugene, Jr.","male",1930,"U.S.","military",2,289,"blue"
"Aleksandrov, Aleksandr","male",1951,"Bulgaria","military",1,47,"blue"
"Aleksandrov, Aleksandr","male",1943,"U.S.S.R/Russia","civilian",2,7434.03,"blue"
"Allen, Andrew M.","male",1955,"U.S.","military",3,904,"blue"
"Allen, Joseph P.","male",1937,"U.S.","civilian",2,314,"blue"
"Altman, Scott D.","male",1959,"U.S.","military",4,1224,"blue"
"Anders, William Alison","male",1933,"U.S.","civilian",1,147,"blue"
"Anderson, Clayton C.","male",1959,"U.S.","civilian",2,4046,"blue"
"Anderson, Michael P.","male",1959,"U.S.","military",2,593,"blue"
"Antonelli, Dominic A.","male",1967,"U.S.","military",2,579,"blue"
"Apt, Jerome","male",1949,"U.S.","civilian",4,847,"blue"
"Archambault, Lee J.","male",1960,"U.S.","military",2,639.5,"blue"
"Armstrong, Neil A.","male",1930,"U.S.","civilian",2,206,"blue"
"Arnaldo Tamayo Mendez","male",1942,"Cuba","military",1,188.71,"blue"
"Arnold, Richard R., II","male",1963,"U.S.","civilian",2,307,"blue"
"Artemyev, Oleg","male",1970,"U.S.S.R/Russia","military",2,8784,"blue"
"Artsebarsky, Anatoly","male",1956,"U.S.S.R/Russia","military",1,3471.35,"blue"
"Artyukhin, Yuri","male",1930,"U.S.S.R/Russia","military",1,377.5,"blue"
"Ashby, Jeffrey S.","male",1954,"U.S.","military",3,664,"blue"
"Atkov, Oleg","male",1949,"U.S.S.R/Russia","civilian",1,5686.82,"blue"
"Aubakirov, Toktar","male",1946,"U.S.S.R/Russia","military",1,190.2,"blue"
"Auñón-Chancellor, Serena","female",1976,"U.S.","civilian",1,4722,"pink"
"Avdeyev, Sergei","male",1956,"U.S.S.R/Russia","civilian",3,17942.23,"blue"
"Bagian, James P.","male",1952,"U.S.","civilian",2,338,"blue"
"Baker, Ellen S.","female",1953,"U.S.","civilian",3,686,"pink"
"Baker, Michael A.","male",1953,"U.S.","military",4,965,"blue"
"Balandin, Aleksandr","male",1953,"U.S.S.R/Russia","civilian",1,4297.28,"blue"
"Barratt, Michael R.","male",1959,"U.S.","civilian",2,5085,"blue"
"Barry, Daniel T.","male",1953,"U.S.","civilian",3,734,"blue"
"Bartoe, John-David Francis","male",1944,"U.S.","civilian",1,190.94,"blue"
"Baturin, Yuri","male",1949,"U.S.S.R/Russia","civilian",2,473.75,"blue"
"Baudry, Patrick","male",1946,"France","military",1,169.63,"blue"
"Bean, Alan Lavern","male",1932,"U.S.","military",2,1671.75,"blue"
"Behnken, Robert L.","male",1970,"U.S.","military",2,708,"blue"
"Bella, Ivan","male",1964,"Slovakia","military",1,190,"blue"
"Belyayev, Pavel","male",1925,"U.S.S.R/Russia","military",1,26.03,"blue"
"Berezovoy, Anatoly","male",1942,"U.S.S.R/Russia","military",1,5073.07,"blue"
"Bertalan Farkas","male",1949,"Hungry","civilian",1,188.75,"blue"
"Bjarni Tryggvason","male",1945,"Canada","civilian",1,284,"blue"
"Blaha, John E.","male",1942,"U.S.","military",5,3864,"blue"
"Bloomfield, Michael J.","male",1959,"U.S.","military",3,779,"blue"
"Bluford, Guion S., Jr.","male",1942,"U.S.","military",4,688,"blue"
"Bobko, Karol J.","male",1937,"U.S.","military",3,386,"blue"
"Boe, Eric A.","male",1964,"U.S.","military",2,687,"blue"
"Bolden, Charles F., Jr.","male",1946,"U.S.","military",4,680,"blue"
"Bondar, Roberta Lynn","female",1945,"Canada","civilian",1,193.77,"pink"
"Borisenko, Andrei","male",1964,"U.S.S.R/Russia","military",2,14324.25,"blue"
"Borman, Frank","male",1928,"U.S.","military",2,477,"blue"
"Bowen, Stephen G.","male",1964,"U.S.","military",3,970,"blue"
"Bowersox, Kenneth D.","male",1956,"U.S.","military",5,5304,"blue"
"Brady, Charles E., Jr.","male",1951,"U.S.","military",1,405,"blue"
"Brand, Vance D.","male",1931,"U.S.","civilian",4,746,"blue"
"Brandenstein, Daniel C.","male",1943,"U.S.","military",4,789,"blue"
"Bresnik, Randolph J.","male",1967,"U.S.","military",2,3587.93,"blue"
"Bridges, Roy D., Jr.","male",1943,"U.S.","military",1,190,"blue"
"Brown, Curtis L., Jr.","male",1956,"U.S.","military",6,1381,"blue"
"Brown, David M.","male",1956,"U.S.","military",1,382,"blue"
"Brown, Mark N.","male",1951,"U.S.","military",2,249,"blue"
"Buchli, James F.","male",1945,"U.S.","military",4,490,"blue"
"Buckey, Jay Clark Jr.","male",1956,"U.S.","civilian",1,382.31,"blue"
"Budarin, Nikolai","male",1953,"U.S.S.R/Russia","civilian",3,10657.42,"blue"
"Burbank, Daniel C.","male",1961,"U.S.","military",3,4534,"blue"
"Bursch, Daniel W.","male",1957,"U.S.","military",4,5448,"blue"
"Bykovsky, Valery","male",1934,"U.S.S.R/Russia","military",3,497.8,"blue"
"Cabana, Robert D.","male",1949,"U.S.","military",4,910,"blue"
"Caldwell, Tracy E.","female",1969,"U.S.","civilian",2,4526,"pink"
"Camarda, Charles J.","male",1952,"U.S.","civilian",1,333,"blue"
"Cameron, Kenneth D.","male",1949,"U.S.","military",3,561,"blue"
"Carey, Duane G.","male",1957,"U.S.","military",1,262,"blue"
"Carr, Gerald P.","male",1932,"U.S.","military",1,2017,"blue"
"Carter, Manley Lanier, Jr.","male",1947,"U.S.","military",1,120,"blue"
"Casper, John H.","male",1943,"U.S.","military",4,825,"blue"
"Cassidy, Christopher J.","male",1970,"U.S.","military",2,4744,"blue"
"Cenker, Robert Joseph","male",1948,"U.S.","civilian",1,146.42,"blue"
"Cernan, Eugene A.","male",1934,"U.S.","military",3,565,"blue"
"Chamitoff, Gregory","male",1962,"U.S.","civilian",2,4770,"blue"
"Chang-Diaz, Franklin R.","male",1950,"U.S.","civilian",7,1601,"blue"
"Chawla, Kalpana","female",1962,"U.S.","civilian",2,758,"pink"
"Cheli, Maurizio","male",1959,"Italy","military",1,377.68,"blue"
"Chen, Dong","male",1978,"China","military",1,774.5,"blue"
"Chiao, Leroy","male",1960,"U.S.","civilian",4,5503,"blue"
"Chilton, Kevin P.","male",1954,"U.S.","military",3,704,"blue"
"Chrétien, Jean-Loup","male",1938,"France","military",3,1043.32,"blue"
"Chris Hadfield","male",1959,"Canada","military",3,4191.82,"blue"
"Christer Fuglesang","male",1957,"Sweden","civilian",2,641.63,"blue"
"Clark, Laurel B.","female",1961,"U.S.","military",1,382,"pink"
"Cleave, Mary L.","female",1947,"U.S.","civilian",2,262,"pink"
"Clervoy, Jean-François","male",1958,"France","military",3,675.1,"blue"
"Clifford, Michael R.","male",1952,"U.S.","military",3,666,"blue"
"Coats, Michael L.","male",1952,"U.S.","military",3,464,"blue"
"Cockrell, Kenneth D.","male",1950,"U.S.","civilian",5,1560,"blue"
"Coleman, Catherine G.","female",1960,"U.S.","military",3,500,"pink"
"Collins, Eileen M.","female",1956,"U.S.","military",4,872,"pink"
"Collins, Michael","male",1930,"U.S.","civilian",2,266,"blue"
"Conrad, Charles, Jr.","male",1930,"U.S.","military",4,1179,"blue"
"Cooper, L. Gordon, Jr.","male",1927,"U.S.","military",2,225,"blue"
"Covey, Richard O.","male",1946,"U.S.","military",4,645,"blue"
"Creamer, Timothy J.","male",1959,"U.S.","military",1,3912,"blue"
"Creighton, John O.","male",1943,"U.S.","military",3,404,"blue"
"Crippen, Robert L.","male",1937,"U.S.","military",4,565,"blue"
"Cristofretti, Samantha","female",1977,"Italy","military",1,4783.5,"pink"
"Crouch, Roger Keith","male",1940,"U.S.","civilian",2,4576.07,"blue"
"Culbertson, Frank L., Jr.","male",1949,"U.S.","military",3,3447,"blue"
"Cunningham, Ronnie Walter","male",1932,"U.S.","civilian",1,260.13,"blue"
"Curbeam, Robert L., Jr.","male",1962,"U.S.","military",3,902,"blue"
"Currie, Nancy J.","female",1958,"U.S.","military",4,999,"pink"
"Davis, Nancy Jan","female",1953,"U.S.","civilian",3,673,"pink"
"De Winne, Frank","male",1961,"Belgium","military",2,4769.58,"blue"
"DeLucas, Lawrence James","male",1950,"U.S.","civilian",1,331.53,"blue"
"Dezhurov, Vladimir N.","male",1962,"U.S.S.R/Russia","military",2,5861.47,"blue"
"Dobrovolski, Georgi","male",1928,"U.S.S.R/Russia","military",1,570.35,"blue"
"Doi, Takao","male",1954,"Japan","civilian",2,763.6,"blue"
"Drew, Alvin Benjamin","male",1962,"U.S.","military",2,613,"blue"
"Duffy, Brian","male",1953,"U.S.","military",4,976,"blue"
"Duke, Jr. Charles Moss","male",1935,"U.S.","military",1,265,"blue"
"Dunbar, Bonnie J.","female",1949,"U.S.","civilian",5,1208,"pink"
"Duque, Pedro","male",1963,"Spain","civilian",2,450.76,"blue"
"Dutton, James P.","male",1968,"U.S.","military",1,362,"blue"
"Dyomin, Lev","male",1926,"U.S.S.R/Russia","military",1,48.2,"blue"
"Dzhanibekov, Vladimir","male",1942,"U.S.S.R/Russia","military",5,3495.93,"blue"
"Edwards, Joe F., Jr.","male",1958,"U.S.","military",1,211,"blue"
"Eisele, Donn F.","male",1930,"U.S.","military",1,260,"blue"
"England, Anthony W.","male",1942,"U.S.","civilian",1,190,"blue"
"Engle, Joe H.","male",1932,"U.S.","military",2,224,"blue"
"Evans, Ronald E.","male",1933,"U.S.","military",1,301,"blue"
"Eyharts, Léopold","male",1957,"France","military",2,1653.52,"blue"
"Fabian, John M.","male",1939,"U.S.","military",2,316,"blue"
"Faris, M. Achmed","male",1951,"Syria","military",1,191,"blue"
"Favier, Jean-Jacques","male",1949,"France","civilian",1,405.8,"blue"
"Fei, Junlong","male",1966,"China","military",1,115,"blue"
"Feoktistov, Konstantin","male",1926,"U.S.S.R/Russia","civilian",1,24.28,"blue"
"Ferguson, Christopher J.","male",1961,"U.S.","military",3,672,"blue"
"Fettman, Martin Joseph","male",1956,"U.S.","civilian",1,336.47,"blue"
"Feustel, Andrew J.","male",1965,"U.S.","civilian",3,687,"blue"
"Filipchenko, Anatoly","male",1928,"U.S.S.R/Russia","military",2,261.05,"blue"
"Fincke, E. Michael","male",1967,"U.S.","military",3,9159,"blue"
"Fischer, Jack","male",1974,"U.S.","military",1,3258.13,"blue"
"Fisher, Anna L.","female",1949,"U.S.","civilian",1,191,"pink"
"Fisher, William F.","male",1946,"U.S.","civilian",1,170,"blue"
"Foale, C. Michael","male",1957,"U.S.","civilian",6,8976,"blue"
"Ford, Kevin A.","male",1960,"U.S.","military",2,3781,"blue"
"Foreman, Michael J.","male",1957,"U.S.","military",2,637,"blue"
"Forrester, Patrick G.","male",1957,"U.S.","military",3,950,"blue"
"Fossum, Michael E.","male",1957,"U.S.","civilian",3,4651,"blue"
"Frick, Stephen N.","male",1964,"U.S.","military",2,565,"blue"
"Frimout, David","male",1941,"Belgium","civilian",1,214.15,"blue"
"Fullerton, Charles G.","male",1936,"U.S.","military",2,382,"blue"
"Furrer, Reinhard Alfred","male",1940,"Germany","civilian",1,168.73,"blue"
"Furukawa, Satoshi","male",1964,"Japan","civilian",1,4014,"blue"
"Gaffney, Andrew","male",1946,"U.S.","civilian",1,218,"blue"
"Garan, Ronald J., Jr.","male",1961,"U.S.","military",2,4272,"blue"
"Gardner, Dale A.","male",1948,"U.S.","military",2,336,"blue"
"Gardner, Guy S.","male",1948,"U.S.","military",2,320.16,"blue"
"Garn, Edwin Jacob","male",1932,"U.S.","military",1,168.15,"blue"
"Garneau, Marc Joseph Jean-Pierre","male",1949,"Canada","military",3,697.67,"blue"
"Garriott, Owen K.","male",1930,"U.S.","civilian",2,1674,"blue"
"Gemar, Charles D.","male",1955,"U.S.","military",3,581.5,"blue"
"Georgi Ivanov","male",1940,"Bulgaria","military",1,47,"blue"
"Gernhardt, Michael L.","male",1956,"U.S.","civilian",4,1039.05,"blue"
"Gerst, Alexander","male",1976,"Germany","civilian",2,8689.84,"blue"
"Gibson, Edward G.","male",1936,"U.S.","civilian",1,2017,"blue"
"Gibson, Robert L.","male",1946,"U.S.","military",5,868.13,"blue"
"Gidzenko, Yuri","male",1962,"U.S.S.R/Russia","military",3,7918.73,"blue"
"Glazkov, Yuri","male",1939,"U.S.S.R/Russia","military",1,425.42,"blue"
"Glenn, John H., Jr.","male",1921,"U.S.","military",2,218,"blue"
"Godwin, Linda M.","female",1952,"U.S.","civilian",4,917.99,"pink"
"Good, Michael T.","male",1962,"U.S.","military",2,591.15,"blue"
"Gorbatko, Viktor","male",1934,"U.S.S.R/Russia","military",3,732.78,"blue"
"Gordon, Richard F., Jr.","male",1929,"U.S.","military",2,315.88,"blue"
"Gorie, Dominic L.","male",1957,"U.S.","military",4,1176.1,"blue"
"Grabe, Ronald J.","male",1945,"U.S.","military",4,626.73,"blue"
"Grechko, Georgi","male",1931,"U.S.S.R/Russia","civilian",3,3236.53,"blue"
"Gregory, Frederick D.","male",1941,"U.S.","military",3,455,"blue"
"Gregory, William G.","male",1957,"U.S.","military",1,399,"blue"
"Griggs, S. David","male",1947,"U.S.","civilian",1,168,"blue"
"Grissom, Virgil I.","male",1926,"U.S.","military",1,4.86,"blue"
"Grunsfeld, John M.","male",1958,"U.S.","civilian",5,1405,"blue"
"Gubarev, Aleksei","male",1931,"U.S.S.R/Russia","military",2,899.6,"blue"
"Guidoni, Umberto","male",1954,"Italy","civilian",2,663.17,"blue"
"Gutierrez, Sidney M.","male",1951,"U.S.","military",2,487,"blue"
"Hague, Tyler","male",1975,"U.S.","military",2,4864,"blue"
"Haigneré, Jean-Pierre","male",1948,"France","military",2,5028,"blue"
"Haise, Fred W., Jr.","male",1933,"U.S.","civilian",1,142,"blue"
"Halsell, James D., Jr.","male",1956,"U.S.","military",5,1257,"blue"
"Ham, Kenneth T.","male",1964,"U.S.","military",2,612,"blue"
"Hammond, L. Blaine, Jr.","male",1952,"U.S.","military",2,461,"blue"
"Harbaugh, Gregory J.","male",1956,"U.S.","civilian",4,816,"blue"
"Harris, Bernard A., Jr.","male",1956,"U.S.","civilian",2,437,"blue"
"Hart, Terry J.","male",1946,"U.S.","civilian",1,167.67,"blue"
"Hartsfield, Henry W., Jr.","male",1933,"U.S.","military",3,481,"blue"
"Hauck, Frederick H.","male",1941,"U.S.","military",3,434,"blue"
"Hawley, Steven A.","male",1951,"U.S.","civilian",5,768,"blue"
"Helms, Susan J.","female",1958,"U.S.","military",5,5054,"pink"
"Henize, Karl G.","male",1926,"U.S.","civilian",1,190.75,"blue"
"Hennen, Thomas John","male",1952,"U.S.","military",1,167.11,"blue"
"Henricks, Terence T.","male",1952,"U.S.","military",4,190.75,"blue"
"Hernandez, Jose M.","male",1962,"U.S.","civilian",1,332,"blue"
"Herrington, John B.","male",1958,"U.S.","military",1,330,"blue"
"Hieb, Richard J.","male",1955,"U.S.","civilian",3,765,"blue"
"Higginbotham, Joan E.","female",1964,"U.S.","civilian",1,308,"pink"
"Hilmers, David C.","male",1950,"U.S.","military",4,493,"blue"
"Hire, Kathryn P.","female",1959,"U.S.","military",2,711,"pink"
"Hobaugh, Charles O.","male",1961,"U.S.","military",3,871.78,"blue"
"Hoffman, Jeffrey A.","male",1944,"U.S.","civilian",5,1211.9,"blue"
"Hopkins, Michael Scott","male",1968,"U.S.","military",1,3990.42,"blue"
"Horowitz, Scott J.","male",1957,"U.S.","military",4,1138.68,"blue"
"Hoshide, Akihiko","male",1968,"Japan","civilian",2,3377.5,"blue"
"Hughes-Fulford, Millie Elizabeth","female",1945,"U.S.","civilian",1,218.37,"pink"
"Hurley, Douglas G.","male",1966,"U.S.","military",2,683,"blue"
"Husband, Rick D.","male",1957,"U.S.","military",2,617,"blue"
"Irwin, James B.","male",1930,"U.S.","military",1,295,"blue"
"Ivanchenkov, Aleksandr","male",1940,"U.S.S.R/Russia","military",2,3540.62,"blue"
"Ivanishin, Anatoli","male",1969,"U.S.S.R/Russia","military",2,6729,"blue"
"Ivins, Marsha S.","female",1951,"U.S.","civilian",5,1341.8,"pink"
"Jarvis, Gregory Bruce","male",1944,"U.S.","civilian",1,0.61,"blue"
"Jemison, Mae C.","female",1956,"U.S.","civilian",1,190.5,"pink"
"Jernigan, Tamara E.","female",1959,"U.S.","civilian",5,1511,"pink"
"Jett, Brent W.","male",1958,"U.S.","military",4,1002.02,"blue"
"Jing, Haipeng","male",1966,"China","military",3,1146,"blue"
"Johnson, Gregory C.","male",1954,"U.S.","civilian",1,309.63,"blue"
"Johnson, Gregory H.","male",1962,"U.S.","military",2,755.83,"blue"
"Jones, Thomas D.","male",1955,"U.S.","civilian",4,1272.82,"blue"
"Jugderdemidiin Gurragchaa","male",1947,"Mongolia","civilian",1,188.7,"blue"
"Kaleri, Aleksandr","male",1956,"U.S.S.R/Russia","civilian",5,18462.62,"blue"
"Kanai, Norishige","male",1976,"Japan","civilian",1,4037,"blue"
"Kavandi, Janet L.","female",1957,"U.S.","civilian",3,810,"pink"
"Kelly, James M.","male",1959,"U.S.","military",2,640,"blue"
"Kelly, Mark E.","male",1964,"U.S.","military",4,1297,"blue"
"Kelly, Scott J.","male",1964,"U.S.","military",4,12490,"blue"
"Kerwin, Joseph P.","male",1932,"U.S.","military",1,672,"blue"
"Khrunov, Yevgeny","male",1933,"U.S.S.R/Russia","military",1,47.75,"blue"
"Kilrain-Still, Susan L.","female",1961,"U.S.","military",2,471,"pink"
"Kimbrough, Robert S.","male",1967,"U.S.","military",2,10763.25,"blue"
"Kizim, Leonid","male",1941,"U.S.S.R/Russia","military",3,8993.93,"blue"
"Klimuk, Pyotr","male",1942,"U.S.S.R/Russia","military",3,1890.28,"blue"
"Koch, Christina","female",1979,"U.S.","civilian",1,7372.3,"pink"
"Komarov, Vladimir","male",1927,"U.S.S.R/Russia","military",2,51.07,"blue"
"Kondakova, Yelena V.","female",1957,"U.S.S.R/Russia","civilian",2,4282.68,"pink"
"Kondratyev, Dmitri","male",1969,"U.S.S.R/Russia","military",1,3823.28,"blue"
"Kononenko, Oleg D.","male",1964,"U.S.S.R/Russia","military",4,16081,"blue"
"Kopra, Timothy L.","male",1963,"U.S.","military",2,3315,"blue"
"Korniyenko, Mikhail","male",1960,"U.S.S.R/Russia","civilian",2,12005.43,"blue"
"Korzun, Valery","male",1953,"U.S.S.R/Russia","military",2,9159.68,"blue"
"Kotov, Oleg","male",1965,"U.S.S.R/Russia","military",3,12629.03,"blue"
"Kovalyonok, Vladimir","male",1942,"U.S.S.R/Russia","military",3,5193.13,"blue"
"Kozeyev, Konstantin","male",1967,"U.S.S.R/Russia","civilian",1,235.98,"blue"
"Kregel Kevin R.","male",1956,"U.S.","civilian",4,1266.35,"blue"
"Krikalev, Sergei","male",1958,"U.S.S.R/Russia","civilian",6,19281.65,"blue"
"Kubasov, Valeri","male",1935,"U.S.S.R/Russia","military",3,449.95,"blue"
"Kuipers, Andre","male",1958,"Netherland","civilian",2,4888,"blue"
"Laveykin, Aleksandr","male",1951,"U.S.S.R/Russia","civilian",1,4179.42,"blue"
"Lawrence, Wendy B.","female",1959,"U.S.","military",4,1226,"pink"
"Lazarev, Vasili","male",1928,"U.S.S.R/Russia","military",1,47.25,"blue"
"Lazutkin, Aleksandr","male",1957,"U.S.S.R/Russia","civilian",1,4438.12,"blue"
"Lebedev, Valentin","male",1942,"U.S.S.R/Russia","civilian",2,5261.98,"blue"
