"name","sex","year_of_birth","nationality","military_civilian","total_number_of_missions","total_hrs_sum","sex_color"
"Lee, Mark C.","male",1952,"U.S.","military",4,789.76,"blue"
"Leestma, David C.","male",1949,"U.S.","military",3,532,"blue"
"Lenoir, William B.","male",1939,"U.S.","civilian",1,122,"blue"
"Leonov, Aleksei","male",1934,"U.S.S.R/Russia","military",2,168.53,"blue"
"Leslie, Fred Weldon","male",1951,"U.S.","civilian",1,382.02,"blue"
"Lind, Don L.","male",1930,"U.S.","military",1,168,"blue"
"Lindgren, Kjell Norwood","male",1973,"U.S.","military",1,3400.15,"blue"
"Lindsey, Steven W.","male",1960,"U.S.","military",5,1508,"blue"
"Linenger, Jerry M.","male",1955,"U.S.","military",2,3218.83,"blue"
"Linnehan, Richard M.","male",1957,"U.S.","civilian",4,1427,"blue"
"Linteris, Gregory Thomas","male",1957,"U.S.","civilian",2,4576.07,"blue"
"Liu, Boming","male",1966,"China","military",1,68,"blue"
"Liu, Wang","male",1969,"China","military",1,312,"blue"
"Liu, Yang","female",1978,"China","military",1,312,"pink"
"Lockhart, Paul S.","male",1956,"U.S.","military",2,663.38,"blue"
"Lonchakov, Yuri","male",1965,"U.S.S.R/Russia","military",3,4818.65,"blue"
"Lopez-Alegria, Michael E.","male",1958,"U.S.","military",4,6190.67,"blue"
"Lounge, John M.","male",1946,"U.S.","civilian",3,482,"blue"
"Lousma, Jack R.","male",1936,"U.S.","military",2,1619,"blue"
"Love, Stanley G.","male",1965,"U.S.","civilian",1,306,"blue"
"Lovell, James A., Jr.","male",1928,"U.S.","military",4,715.05,"blue"
"Low, G. David","male",1956,"U.S.","civilian",3,713,"blue"
"Lu, Edward T.","male",1963,"U.S.","civilian",3,4943.3,"blue"
"Lucid, Shannon W.","female",1943,"U.S.","civilian",5,5353,"pink"
"Lyakhov, Vladimir","male",1941,"U.S.S.R/Russia","military",3,7999.78,"blue"
"Magnus, Sandra H.","female",1964,"U.S.","civilian",3,3776,"pink"
"Makarov, Oleg","male",1933,"U.S.S.R/Russia","civilian",3,497.33,"blue"
"Malenchenko, Yuri","male",1961,"U.S.S.R/Russia","military",6,16872.47,"blue"
"Malyshev, Yuri","male",1941,"U.S.S.R/Russia","military",2,283.98,"blue"
"Manakov, Gennadi","male",1950,"U.S.S.R/Russia","military",2,7437.3,"blue"
"Manarov, Musa","male",1951,"U.S.S.R/Russia","military",2,12984.47,"blue"
"Marshburn, Thomas H.","male",1960,"U.S.","military",2,3870,"blue"
"Massimino, Michael J.","male",1962,"U.S.","civilian",2,517.8,"blue"
"Mastracchio, Richard A.","male",1960,"U.S.","civilian",4,5460,"blue"
"Mattingly, Thomas K., II","male",1936,"U.S.","military",3,508,"blue"
"McArthur, K. Megan","female",1971,"U.S.","civilian",1,309,"pink"
"McArthur, William S., Jr.","male",1951,"U.S.","military",4,5396,"blue"
"McAuliffe, Sharon Christa Corrigan","female",1948,"U.S.","civilian",1,0.61,"pink"
"McBride, Jon A.","male",1943,"U.S.","military",1,197,"blue"
"McCandless, Bruce, II","male",1937,"U.S.","military",2,312,"blue"
"McClain, Anne Charlotte","female",1979,"U.S.","military",1,4887,"pink"
"McCool, William C.","male",1961,"U.S.","military",1,382,"blue"
"McCulley, Michael J.","male",1943,"U.S.","military",1,119,"blue"
"McDivitt, James A.","male",1929,"U.S.","military",2,338,"blue"
"McMonagle, Donald R.","male",1952,"U.S.","military",3,604,"blue"
"McNair, Ronald E.","male",1950,"U.S.","civilian",2,191,"blue"
"Meade, Carl J.","male",1950,"U.S.","military",3,710,"blue"
"Meir, Jessica","female",1977,"U.S.","civilian",1,2697.6,"pink"
"Melnick, Bruce E.","male",1949,"U.S.","military",2,311,"blue"
"Melroy, Pamela A.","female",1961,"U.S.","military",3,930,"pink"
"Melvin, Leland D.","male",1964,"U.S.","civilian",2,565,"blue"
"Merbold, Ulf","male",1941,"Germany","civilian",3,1197.6,"blue"
"Messerschmid, Ernst Willi","male",1945,"Germany","military",1,168.73,"blue"
"Metcalf-Lindenburger, Dorothy M.","female",1975,"U.S.","civilian",1,362,"pink"
"Misurkin, Aleksandr","male",1977,"U.S.S.R/Russia","military",2,8027.5,"blue"
"Mitchell, Edgar D.","male",1930,"U.S.","military",1,216,"blue"
"Mogensen, Andreas","male",1976,"Denmark","civilian",1,236.23,"blue"
"Mohmand, Abdul Ahad","male",1959,"Afghanistan","military",1,212,"blue"
"Mohri, Mamoru","male",1948,"Japan","civilian",2,190.5,"blue"
"Morgan, Andrew","male",1976,"U.S.","military",1,4303.08,"blue"
"Morgan, Barbara R.","female",1951,"U.S.","civilian",1,305,"pink"
"Morin, Lee M.","male",1952,"U.S.","military",1,259,"blue"
"Morukov, Boris","male",1950,"U.S.S.R/Russia","civilian",1,283.2,"blue"
"Mukai, Chiaki","female",1952,"Japan","civilian",2,568,"pink"
"Mullane, Richard M.","male",1945,"U.S.","military",3,356,"blue"
"Musabayev, Talgat","male",1951,"U.S.S.R/Russia","military",3,8193.8,"blue"
"Musgrave, Franklin Story","male",1935,"U.S.","civilian",6,1281,"blue"
"Nagel, Steven R.","male",1946,"U.S.","military",4,522,"blue"
"Nelson, George D.","male",1950,"U.S.","civilian",3,411,"blue"
"Nelson, William Clarence","male",1942,"U.S.","civilian",1,6.03,"blue"
"Neri Vela, Rodolfl","male",1952,"Mexico","civilian",1,165.67,"blue"
"Nespoli, Paolo A.","male",1957,"Italy","military",3,7514.61,"blue"
"Newman, James H.","male",1956,"U.S.","civilian",4,1032,"blue"
"Nicollier, Claude","male",1944,"Switzerland","civilian",4,1184.07,"blue"
"Nie Haisheng","male",1964,"China","military",2,466,"blue"
"Nikolayev, Andriyan","male",1929,"U.S.S.R/Russia","military",2,519.33,"blue"
"Noguchi, Soichi","male",1965,"Japan","civilian",2,4251.1,"blue"
"Noriega, Carlos I.","male",1959,"U.S.","military",2,481,"blue"
"Novitski, Oleg","male",1971,"U.S.S.R/Russia","military",2,8169.83,"blue"
"Nowak, Lisa M.","female",1963,"U.S.","military",1,306,"pink"
"Nyberg, Karen L.","female",1969,"U.S.","civilian",2,4320,"pink"
"Ochoa, Ellen","female",1958,"U.S.","civilian",4,978,"pink"
"Ockels, Wubbo Johannes","male",1946,"Netherland","civilian",1,168.73,"blue"
"Oefelein, William A.","male",1965,"U.S.","military",1,308,"blue"
"Olivas, John D.","male",1965,"U.S.","civilian",2,668,"blue"
"Onishi, Takuya","male",1975,"Japan","civilian",1,6902.35,"blue"
"Onufrienko, Yuri","male",1961,"U.S.S.R/Russia","military",2,9350.77,"blue"
"Oswald, Stephen S.","male",1951,"U.S.","military",3,814,"blue"
"Ovchinin, Aleksey","male",1971,"U.S.S.R/Russia","military",3,8995.75,"blue"
"Overmyer, Robert F.","male",1936,"U.S.","military",2,290,"blue"
"Padalka, Gennady","male",1958,"U.S.S.R/Russia","military",5,21083.52,"blue"
"Pailes, William Arthur","male",1936,"U.S.","military",1,98.11,"blue"
"Parazynski, Scott E.","male",1961,"U.S.","civilian",5,1379,"blue"
"Parise, Ronald Anthony","male",1951,"U.S.","civilian",2,614.69,"blue"
"Parker, Robert A. R.","male",1936,"U.S.","civilian",2,463,"blue"
"Parmitano, Luca","male",1976,"Italy","military",2,8293.31,"blue"
"Patrick, Nicholas J. M.","male",1964,"U.K./U.S.","civilian",2,638,"blue"
"Patsayev, Viktor","male",1933,"U.S.S.R/Russia","civilian",1,570.35,"blue"
"Pawelczyk, James Anthony","male",1960,"U.S.","civilian",1,382.31,"blue"
"Payette, Julie","female",1963,"Canada","civilian",2,611.98,"pink"
"Peake, Timothy Nigel","male",1972,"U.K.","military",1,4462,"blue"
"Perrin, Philippe","male",1963,"France","military",1,332.58,"blue"
"Pesquet, Thomas","male",1978,"France","civilian",1,15105.08,"blue"
"Peterson, Donald H.","male",1933,"U.S.","military",1,120,"blue"
"Pettit, Donald R.","male",1955,"U.S.","civilian",3,8872.5,"blue"
"Pham Tuan","male",1947,"Vietnam","military",1,188.7,"blue"
"Phillips, John L.","male",1951,"U.S.","civilian",3,4872,"blue"
"Pogue, William R.","male",1930,"U.S.","military",1,2017,"blue"
"Poindexter, Alan G.","male",1961,"U.S.","military",2,669,"blue"
"Polansky, Mark L.","male",1956,"U.S.","civilian",3,993,"blue"
"Poleshchuk, Aleksandr","male",1953,"U.S.S.R/Russia","military",1,4296.72,"blue"
"Polyakov, Valeri","male",1942,"U.S.S.R/Russia","civilian",2,16288.53,"blue"
"Popov, Leonid","male",1945,"U.S.S.R/Russia","military",3,4814.75,"blue"
"Popovich, Pavel","male",1930,"U.S.S.R/Russia","military",2,448.45,"blue"
"Precourt, Charles J., Jr.","male",1955,"U.S.","military",4,932,"blue"
"Prokopyev, Sergei","male",1975,"U.S.S.R/Russia","military",1,4722,"blue"
"Rakesh Sharma","male",1949,"India","military",1,4365.8,"blue"
"Ramon, Ilan","male",1954,"Israel","military",1,382.33,"blue"
"Readdy, William F.","male",1952,"U.S.","civilian",3,672,"blue"
"Reightler, Kenneth S., Jr.","male",1951,"U.S.","military",2,312,"blue"
"Reilly, James F.","male",1954,"U.S.","civilian",3,853,"blue"
"Reisman, Garrett E.","male",1968,"U.S.","civilian",2,2473,"blue"
"Reiter, Thomas","male",1958,"Germany","military",2,8405.58,"blue"
"Resnik, Judith A.","female",1949,"U.S.","civilian",2,144,"pink"
"Revin, Sergei","male",1966,"U.S.S.R/Russia","civilian",1,2999.87,"blue"
"Richards, Paul W.","male",1964,"U.S.","civilian",1,307,"blue"
"Richards, Richard N.","male",1946,"U.S.","military",4,813,"blue"
"Ride, Sally K.","female",1951,"U.S.","civilian",2,343,"pink"
"Robert Thirsk","male",1953,"Canada","civilian",2,4917.8,"blue"
"Robinson, Stephen K.","male",1955,"U.S.","civilian",4,1156,"blue"
"Romanenko, Roman","male",1971,"U.S.S.R/Russia","military",2,8003.02,"blue"
"Romanenko, Yuri","male",1944,"U.S.S.R/Russia","military",3,10338.35,"blue"
"Rominger, Kent V.","male",1956,"U.S.","military",5,1608,"blue"
"Roosa, Stuart A.","male",1933,"U.S.","military",1,216,"blue"
"Ross, Jerry L.","male",1948,"U.S.","military",7,1393,"blue"
"Rozhdestvensky, Valery","male",1939,"U.S.S.R/Russia","military",1,48.1,"blue"
"Rubins, Kathleen","female",1978,"U.S.","civilian",1,6902.35,"pink"
"Rukavishnikov, Nikolai","male",1932,"U.S.S.R/Russia","military",3,237.15,"blue"
"Runco, Mario, Jr.","male",1952,"U.S.","military",3,549,"blue"
"Ryazanski, Sergei","male",1974,"U.S.S.R/Russia","civilian",2,7318.93,"blue"
"Ryumin, Valery","male",1939,"U.S.S.R/Russia","civilian",4,8921.4,"blue"
"Ryzhikov, Sergey","male",1974,"U.S.S.R/Russia","military",1,10383.25,"blue"
"Sacco, Albert Jr.","male",1949,"U.S.","civilian",1,382.02,"blue"
"Saint-Jaques, David","male",1970,"Canada","civilian",1,4887,"blue"
"Samokutyayev, Aleksandr","male",1970,"U.S.S.R/Russia","military",2,7955.38,"blue"
"Sarafanov, Gennadi","male",1942,"U.S.S.R/Russia","military",1,48.2,"blue"
"Satcher, Robert L.","male",1965,"U.S.","civilian",1,259,"blue"
"Savinykh, Viktor","male",1940,"U.S.S.R/Russia","civilian",3,6065.63,"blue"
"Savitskaya, Svetlana","female",1948,"U.S.S.R/Russia","civilian",2,473.1,"pink"
"Schirra, Walter M., Jr.","male",1923,"U.S.","military",3,295.2,"blue"
"Schlegel, Hans","male",1951,"Germany","civilian",2,546,"blue"
"Schmitt, Harrison H.","male",1935,"U.S.","civilian",1,301,"blue"
"Scobee, Francis R.","male",1939,"U.S.","military",2,168,"blue"
"Scott, David R.","male",1932,"U.S.","military",3,546,"blue"
"Scott, Winston E.","male",1950,"U.S.","military",2,590,"blue"
"Scully-Power, Paul Desmond","male",1944,"U.S.","civilian",1,197.67,"blue"
"Searfoss, Richard A.","male",1956,"U.S.","military",3,938,"blue"
"Seddon, Margaret Rhea","female",1947,"U.S.","civilian",3,722,"pink"
"Sega, Ronald M.","male",1952,"U.S.","civilian",2,420,"blue"
"Sellers, Piers J.","male",1955,"U.K./U.S.","civilian",3,839,"blue"
"Serebrov, Aleksandr","male",1944,"U.S.S.R/Russia","civilian",4,8950.87,"blue"
"Serova, Yelena","female",1976,"U.S.S.R/Russia","civilian",1,4013.7,"pink"
"Sevastyanov, Vitali","male",1935,"U.S.S.R/Russia","civilian",2,1936.3,"blue"
"Sharipov, Salizhan","male",1964,"U.S.S.R/Russia","military",2,4838.83,"blue"
"Shatalov, Vladimir","male",1927,"U.S.S.R/Russia","military",3,237.92,"blue"
"Shaw, Brewster H., Jr.","male",1945,"U.S.","military",3,533.75,"blue"
"Shepard, Alan B., Jr.","male",1923,"U.S.","military",2,216.25,"blue"
"Shepherd, William M.","male",1949,"U.S.","military",4,3721,"blue"
"Shkaplerov, Anton","male",1972,"U.S.S.R/Russia","military",3,12796,"blue"
"Shonin, Georgi","male",1935,"U.S.S.R/Russia","military",1,118.7,"blue"
"Shriver, Loren J.","male",1944,"U.S.","military",3,386,"blue"
"Skripochka, Oleg","male",1969,"U.S.S.R/Russia","civilian",3,10653.3,"blue"
"Skvortsov, Aleksandr Jr.","male",1966,"U.S.S.R/Russia","military",3,12588.98,"blue"
"Slayton, Donald K.","male",1924,"U.S.","civilian",1,217.47,"blue"
"Smith, Michael John","male",1945,"U.S.","military",1,0.61,"blue"
"Smith, Steven L.","male",1958,"U.S.","civilian",4,960,"blue"
"Solovyev, Anatoly","male",1948,"U.S.S.R/Russia","military",5,15624.03,"blue"
"Solovyov, Vladimir","male",1946,"U.S.S.R/Russia","civilian",2,8686.82,"blue"
"Spring, Sherwood C.","male",1944,"U.S.","military",1,165,"blue"
"Springer, Robert C.","male",1942,"U.S.","military",2,237,"blue"
"Stafford, Thomas P.","male",1930,"U.S.","military",4,508,"blue"
"Stefanyshyn-Piper, Heidemarie M.","female",1963,"U.S.","military",2,648,"pink"
"Steven MacLean","male",1954,"Canada","military",2,520.03,"blue"
"Stott, Nicole P.","female",1962,"U.S.","civilian",2,1747,"pink"
"Strekalov, Gennadi","male",1940,"U.S.S.R/Russia","civilian",5,6454.37,"blue"
"Sturckow, Frederick W.","male",1961,"U.S.","military",4,1237,"blue"
"Sullivan, Kathryn D.","female",1951,"U.S.","civilian",3,532,"pink"
"Surayev, Maksim","male",1972,"U.S.S.R/Russia","military",2,8028.18,"blue"
"Swanson, Steven R.","male",1960,"U.S.","civilian",3,4646.85,"blue"
"Swigert, John L., Jr.","male",1931,"U.S.","civilian",1,142,"blue"
"Tani, Daniel M.","male",1961,"U.S.","civilian",2,3163,"blue"
"Tanner, Joseph R.","male",1950,"U.S.","civilian",4,1045.25,"blue"
"Tarelkin, Yevgeni","male",1974,"U.S.S.R/Russia","military",1,3448.25,"blue"
"Thagard, Norman E.","male",1943,"U.S.","civilian",5,3373.4,"blue"
"Thiele, Gerhard","male",1953,"Germany","civilian",1,269.65,"blue"
"Thomas, Andrew S. W.","male",1951,"Australia","civilian",4,4264,"blue"
"Thomas, Donald A.","male",1955,"U.S.","civilian",4,1038,"blue"
"Thornton, Kathryn C.","female",1952,"U.S.","civilian",4,975.23,"pink"
"Thornton, William E.","male",1929,"U.S.","civilian",2,313.26,"blue"
"Thuot, Pierre J.","male",1955,"U.S.","military",3,654.85,"blue"
"Tingle, Scott","male",1965,"U.S.","military",1,4037,"blue"
"Titov, Vladimir","male",1947,"U.S.S.R/Russia","military",4,9288.75,"blue"
"Tognini, Michel","male",1949,"France","military",2,449.77,"blue"
"Tokarev, Valeri","male",1952,"U.S.S.R/Russia","military",2,4791.1,"blue"
"Treshchov, Sergei","male",1958,"U.S.S.R/Russia","civilian",1,4438.25,"blue"
"Trinh, Eugene Huu-Chau","male",1950,"U.S.","civilian",1,331.53,"blue"
"Truly, Richard H.","male",1937,"U.S.","military",2,199.34,"blue"
"Tsibliyev, Vasili","male",1954,"U.S.S.R/Russia","military",2,9159.87,"blue"
"Tyurin, Mikhail","male",1960,"U.S.S.R/Russia","military",3,12770.85,"blue"
"Vande Hei, Mark","male",1966,"U.S.","military",1,4037.23,"blue"
"Vasyutin, Vladimir","male",1952,"U.S.S.R/Russia","military",1,1557.87,"blue"
"Veach, Charles Lacy","male",1944,"U.S.","civilian",2,436.3,"blue"
"Viktorenko, Aleksandr","male",1947,"U.S.S.R/Russia","military",4,11737.55,"blue"
"Vinogradov, Pavel","male",1953,"U.S.S.R/Russia","civilian",3,13126.53,"blue"
"Virts, Terry W., Jr.","male",1967,"U.S.","military",2,5113.62,"blue"
"Vittori, Roverto","male",1964,"Italy","military",3,851.65,"blue"
"Volk, Igor","male",1937,"U.S.S.R/Russia","military",1,283.23,"blue"
"Volkov, Alexander","male",1948,"U.S.S.R/Russia","military",3,9395.87,"blue"
"Volkov, Sergei","male",1973,"U.S.S.R/Russia","military",3,12786.32,"blue"
"Volkov, Vladislav","male",1935,"U.S.S.R/Russia","military",2,689.02,"blue"
"Volynov, Boris","male",1934,"U.S.S.R/Russia","military",2,1255.28,"blue"
"Voss, James S.","male",1949,"U.S.","military",5,1000,"blue"
"Voss, Janice E.","female",1956,"U.S.","civilian",5,1199.81,"pink"
"Wakata, Koichi","male",1963,"Japan","civilian",4,8336.5,"blue"
"Walheim, Rex J.","male",1962,"U.S.","military",3,872.51,"blue"
"Walker, Charles David","male",1948,"U.S.","civilian",3,478.29,"blue"
"Walker, David Mathieson","male",1944,"U.S.","military",4,724.45,"blue"
"Walker, Shannon","female",1965,"U.S.","civilian",1,3919.18,"pink"
"Walter, Ulrich","male",1954,"Germany","civilian",1,239.67,"blue"
"Walz, Carl E.","male",1955,"U.S.","military",4,5533.06,"blue"
"Wang, Yapi","male",1980,"China","military",1,350,"blue"
"Weber, Mary E.","female",1962,"U.S.","civilian",2,450.5,"pink"
"Weitz, Paul J.","male",1932,"U.S.","military",2,793.22,"blue"
"Wetherbee, James D.","male",1952,"U.S.","military",6,1594.38,"blue"
"Wheelock, Douglas H.","male",1960,"U.S.","military",2,4281.57,"blue"
"White, Edward H., II","male",1930,"U.S.","military",1,97.93,"blue"
"Whitson, Peggy A.","female",1960,"U.S.","civilian",3,15982,"pink"
"Wilcutt, Terrence W.","male",1949,"U.S.","military",4,1008,"blue"
"Williams, Dafydd Rhys","male",1954,"Canada","civilian",2,676.85,"blue"
"Williams, Donald E.","male",1942,"U.S.","military",2,286,"blue"
"Williams, Jeffrey N.","male",1958,"U.S.","military",4,12752,"blue"
"Williams, Sunita L.","female",1965,"U.S.","military",1,7722,"pink"
"Williams, Sunita L.","female",1965,"U.S.","military",2,7722,"pink"
"Wilmore, Barry E.","male",1962,"U.S.","military",2,4272,"blue"
"Wilson, Stephanie D.","female",1966,"U.S.","civilian",3,1031.77,"pink"
"Wiseman, Gregory Reid","male",1975,"U.S.","military",1,3968.1,"blue"
"Wisoff, Peter J. K.","male",1958,"U.S.","civilian",4,1064.15,"blue"
"Wolf, David A.","male",1956,"U.S.","civilian",4,4040.95,"blue"
"Worden, Alfred M.","male",1932,"U.S.","military",1,295.2,"blue"
"Yamazaki, Naoko","female",1970,"Japan","civilian",1,362.8,"pink"
"Yegorov, Boris","male",1937,"U.S.S.R/Russia","civilian",1,24.28,"blue"
"Yeliseyev, Aleksei","male",1934,"U.S.S.R/Russia","civilian",3,214.33,"blue"
"Young, John W.","male",1930,"U.S.","military",6,835.65,"blue"
"Yui, Kimiya","male",1970,"Japan","military",1,3400,"blue"
"Yurchikhin, Fyodor","male",1959,"U.S.S.R/Russia","civilian",5,16147,"blue"
"Yuri Vladimirovich Usachyov","male",1957,"U.S.S.R/Russia","military",4,13270.42,"blue"
"Zalyotin, Sergei","male",1962,"U.S.S.R/Russia","military",2,2008.6,"blue"
"Zamka, George D.","male",1962,"U.S.","military",2,692.53,"blue"
"Zhai, Zhigang","male",1966,"China","military",1,68,"blue"
"Zhang, Xiaoguang","male",1968,"China","military",1,350,"blue"
"Zholobov, Vitali","male",1937,"U.S.S.R/Russia","military",1,1182.38,"blue"
"Zudov, Vyacheslav","male",1942,"U.S.S.R/Russia","military",1,48.1,"blue"
